,Calculation ID,Calculation Code,Week,Fiscal Year,Fiscal Quarter,Market,Country Name,Incentive ID,BP Name,Central BP,PEP Element,Type of Sales,Seller Country,Seller Incentive ID,Seller Name,Buyer Country,Buyer Incentive ID,Buyer Name,PH1 Level-Desc,PH2 Level-Desc,PH3 Level-Desc,PH4 Level-Desc,BID type,BID Flag,SPECIAL_BID_NO,Invoice Number,Invoice Date,MTM,BU,Segment,Premier Flag,TS Think,TS Think Meas,Quantity,Revenue,Revenue HWSW,Revenue Services,Revenue(local),Local Currency,D2D intrachannel,Inventory,Measure Flag,Payment Flag,Allocation Flag,TRB,WEB,Platinum Plus,Accelerator
0,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,,ALL PRODUCT MDF,Distribution,Bulgaria,,,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,Services,Enterprise Product Group,OEM Storage Post Warranty,Advanced Committed Services,,, ,6734059016,2019-08-22,01ET646,X8,SMB,,N,N,1,1684.8,0,0,1684.8,EUR,,N,N,Y,Y,N,,,0
11,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,,GROWTH ACCELERATOR,Distribution,Serbia,,,Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,Services,Enterprise Product Group,Server Warranty Upgrades,Foundation Services,,ONLINE BID,5312906611,6734056740,2019-07-10,5WS7A01544,X7,SMB,,N,N,1,1108.24,0,0,1108.24,EUR,,N,Y,N,N,N,,,0
237,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,,PARTNER SOLD PARTNER DELIVERED,Distribution,Serbia,,,Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,Services,Enterprise Product Group,Server Warranty Upgrades,Foundation Services,,ONLINE BID,5312715495,6734056618,2019-07-08,5WS7A26862,X7,SMB,,N,N,3,294.0,0,0,294.0,EUR,,N,N,Y,Y,N,,,0
276,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Croatia,ACC00616992,Combis d.o.o.,,ALL PRODUCT,T1 SO to T2,Croatia,ACC00522679,M SAN GRUPA D.D.,Croatia,ACC00616992,Combis d.o.o.,Enterprise Product Group,ThinkSystem,ThinkSystem (Flex Server),ThinkSystem SN550 Server,,ONLINE BID,5313104017,RAC-126822,2019-09-27,7X16S2UW00,X1,SMB,,N,N,4,12477.42,0,0,12477.42,EUR,,N,N,Y,Y,N,,,0
545,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,,SOLUTIONS & SERVICES ACCELERATOR,T1 SO to T2,Serbia,ACC00570233,"Ingram Micro doo, Beograd",Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,Enterprise Product Group,Networking,LENOVO NETWORK ACCESSORIES,NETWORK - Transceivers,,ONLINE BID,5312815950,R-19002899,2019-08-05,46C3447,XF,SMB,,N,N,2,62.5,0,0,62.5,EUR,,N,N,Y,Y,N,,,0
556,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,,THINKAGILE & STORAGE EXPERT-MDF,Distribution,Serbia,,,Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,Enterprise Product Group,ThinkSystem,HV Server for ThinkAgile,ThinkAgile VX 2U Node,,ONLINE BID,5313007560,6734058030,2019-08-02,7Y94S1W200,X1,SMB,,N,N,2,14910.88,0,0,14910.88,EUR,,N,N,Y,Y,N,,,0
588,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,,THINKAGILE & STORAGE EXPERT,T1 SO to T2,Serbia,ACC00570233,"Ingram Micro doo, Beograd",Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,Enterprise Product Group,Networking,LENOVO NETWORK ACCESSORIES,NETWORK - Cables,,ONLINE BID,5312815950,R-19002899,2019-08-05,90Y9430,XF,SMB,,N,N,2,65.364,0,0,65.364,EUR,,N,N,Y,Y,N,,,0
