,Calculation ID,Calculation Code,Week,Fiscal Year,Fiscal Quarter,Market,Country Name,Incentive ID,BP Name,Central BP,PEP Element,Type of Sales,Seller Country,Seller Incentive ID,Seller Name,Buyer Country,Buyer Incentive ID,Buyer Name,PH1 Level-Desc,PH2 Level-Desc,PH3 Level-Desc,PH4 Level-Desc,BID type,BID Flag,SPECIAL_BID_NO,Invoice Number,Invoice Date,MTM,BU,Segment,Premier Flag,TS Think,TS Think Meas,Quantity,Revenue,Revenue HWSW,Revenue Services,Revenue(local),Local Currency,D2D intrachannel,Inventory,Measure Flag,Payment Flag,Allocation Flag,TRB,WEB,Platinum Plus,Accelerator
403,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,,ALL PRODUCT,Distribution,Bulgaria,,,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,Server and Storage S&P,DCG Server Option,DCG SERVER POWER - COMMON,DCG SERVER POWER - COMMON,,ONLINE BID,5312904865,6734056774,2019-07-11,4L67A08366,X5,SMB,,N,N,2,25.8,0,0,25.8,EUR,,N,N,Y,Y,N,,,0
404,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Croatia,ACC00616992,Combis d.o.o.,,ALL PRODUCT,T1 SO to T2,Croatia,ACC00522679,M SAN GRUPA D.D.,Croatia,ACC00616992,Combis d.o.o.,Server and Storage S&P,DCG Server Option,DCG SERVER MEMORY - COMMON,DCG SERVER MEMORY - COMMON,,ONLINE BID,5312642133,RAC-86903,2019-07-04,4ZC7A08699,X5,SMB,,N,N,4,618.948,0,0,618.948,EUR,,N,N,Y,Y,N,,,0
405,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,,ALL PRODUCT,T1 SO to T2,Serbia,ACC00570233,"Ingram Micro doo, Beograd",Serbia,ACC00636843,SERBIAN BUSINESS SYSTEMS,Server and Storage S&P,DCG Server Option,DCG SERVER MEMORY - COMMON,DCG SERVER MEMORY - COMMON,,ONLINE BID,5312553069,R-19002415,2019-07-03,4ZC7A08709,X5,SMB,,N,N,2,557.745,0,0,557.745,EUR,,N,N,Y,Y,N,,,0
406,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,,ALL PRODUCT,Distribution,Bulgaria,,,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,Services,Enterprise Product Group,Server Post Warranty,Foundation Services,,, ,6734060553,2019-09-18,01ET980,X7,SMB,,N,N,1,644.8,0,0,644.8,EUR,,N,N,Y,Y,N,,,0
407,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,,ALL PRODUCT,Distribution,Bulgaria,,,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,Server and Storage S&P,DCG SERVER OPTIONS HIGH VOLUME,DCG SERVER POWER - HIGH VOLUME,DCG SERVER POWER - HIGH VOLUME,,ONLINE BID,5312904865,6734056781,2019-07-11,4P57A12649,X5,SMB,,N,N,1,96.89,0,0,96.89,EUR,,N,N,Y,Y,N,,,0
408,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Croatia,ACC00616992,Combis d.o.o.,,ALL PRODUCT,T1 SO to T2,Croatia,ACC00522679,M SAN GRUPA D.D.,Croatia,ACC00616992,Combis d.o.o.,Server and Storage S&P,X SERVER SOFTWARE - LENOVO,X SERVER LENOVO SW - VMK,X SERVER LENOVO SW - VMK,,ONLINE BID,5312642133,RAC-86903,2019-07-04,4L47A09133,X4,SMB,,N,N,4,33.784,0,0,33.784,EUR,,N,N,Y,Y,N,,,0
409,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Cyprus,ACC00617344,NEWCYTECH BUSINESS SOLUTIONS LTD,,ALL PRODUCT,Distribution,Cyprus,,,Cyprus,ACC00617344,NEWCYTECH BUSINESS SOLUTIONS LTD,Server and Storage S&P,DCG Server Option,DCG SERVER OPTIONS OTHER - COMMON,DCG SERVER OPTIONS OTHER - COMMON,,ONLINE BID,5313298193,6734059445,2019-08-31,7N67A00883,X5,SMB,,N,N,1,102.0,0,0,102.0,EUR,,N,N,Y,Y,N,,,0
410,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,,ALL PRODUCT,Distribution,Bulgaria,,,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,Server and Storage S&P,STORAGE OPTIONS,Storage Options Tape (Tape Old),Storage Options Tape (Tape Old),,SBO,5313553369,6734061210,2019-09-28,01KP930,XB,SMB,,N,N,1,351.7,0,0,351.7,EUR,,N,N,Y,Y,N,,,0
411,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Cyprus,ACC00617344,NEWCYTECH BUSINESS SOLUTIONS LTD,,ALL PRODUCT,Distribution,Cyprus,,,Cyprus,ACC00617344,NEWCYTECH BUSINESS SOLUTIONS LTD,Server and Storage S&P,DCG Server Option,DCG SERVER HDD - COMMON,DCG SERVER HDD - COMMON,,ONLINE BID,5313056554,6734058016,2019-08-02,4XB7A10247,X5,SMB,,N,N,2,228.0,0,0,228.0,EUR,,N,N,Y,Y,N,,,0
412,6700166799792585420,AUTO_CSEE2019121916679_20200316100312_0496,13,FY1920,Q2,SEE,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,,ALL PRODUCT,Distribution,Bulgaria,,,Bulgaria,ACC00616495,IBS Bulgaria Ltd.,Server and Storage S&P,X SERVER SOFTWARE - 3RD PARTY,X SERVER 3RD PARTY SW - MICROSOFT,10,,ONLINE BID,5312904865,6734056841,2019-07-12,7S050029WW,X4,SMB,,N,N,2,538.2,0,0,538.2,EUR,,N,N,Y,Y,N,,,0
